name,height,weight,reach,stance,wins,losses,draws
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,14
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5
Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,6
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9
Levi,Alford,,--,--,--,,1
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,10
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,16
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,20
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,25
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,22
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,12
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13
Magno,Almeida,,"6' 0""",155 lbs.,--,,10
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,22
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,7
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,22
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23
Anthony,Alves,,--,--,--,,1
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33
Mahamed,Aly,,--,205 lbs.,--,,4
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7
Chris,Amarante,,--,185 lbs.,--,,2
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,11
Hamid,Amiri,The Storm,--,145 lbs.,--,,9
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,10
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,17
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11
Liam,Anderson,,"6' 3""",185 lbs.,"75.0""",Orthodox,6
Tatsuya,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12
Fellipe,Andrew,,--,--,--,,0
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,21
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1
Vanilto,Antunes,,"6' 0""",170 lbs.,"72.0""",Orthodox,16
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10
Jin,Aoi,,"5' 6""",145 lbs.,"68.0""",Orthodox,14
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,13
Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15
Alice,Ardelean,,"5' 3""",115 lbs.,"62.0""",Orthodox,10
Tristan,Arenal,,--,155 lbs.,--,,7
Gabriel,Arges,,--,170 lbs.,--,,0
Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34
Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10
Joey,Armstrong,,--,--,--,,5
Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14
Eli,Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3
Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9
Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1
Veta,Arteaga,,"5' 7""",125 lbs.,--,,3
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8
Kai,Asakura,,"5' 8""",125 lbs.,"69.0""",Orthodox,21
Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14
Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11
Yanal,Ashmouz,Red Fox,"5' 9""",155 lbs.,"69.0""",Orthodox,8
,Asjabharan,,"5' 6""",135 lbs.,--,,7
Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11
Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14
Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9
Khusein,Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23
Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14
Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19
Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77.0""",Orthodox,14
Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,15
Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8
Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16
Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28
Michael,Aswell,The Texas Kid,"5' 8""",155 lbs.,"69.0""",Orthodox,10
Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17
Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10
Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11
Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11
Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6
Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22
David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2
Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8
Levi,Avera,,"6' 1""",170 lbs.,--,,18
Anthony,Avila,,"5' 7""",145 lbs.,--,,13
Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5
Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9
Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10
Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16
Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14
Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13
Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15
Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17
Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9
Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11
Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20
Abdul Azeem,Badakhshi,The Afghan Lion,--,145 lbs.,--,,13
Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23
Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,6
Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10
Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15
Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11
Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,8
Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24
Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,17
Bahatebole,Batebolati,Lion King,"5' 8""",170 lbs.,"71.0""",Southpaw,10
Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16
Jordan,Bailey,,"5' 9""",145 lbs.,--,,6
Scott,Baker,,"6' 0""",210 lbs.,--,,1
Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18
Jin,Bala,,"5' 9""",155 lbs.,--,,23
,Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,23
Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6
Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5
Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15
Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14
Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18
Yohan,Banks,,--,--,--,,2
Shauna,Bannon,Mama B,"5' 5""",115 lbs.,"65.0""",Switch,7
Antonio,Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20
Iwo,Baraniewski,,--,205 lbs.,--,,5
Renan,Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34
Junior,Barata,,"5' 10""",170 lbs.,--,Orthodox,9
Maycee,Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,14
Bryan,Barberena,Bam Bam,"6' 0""",185 lbs.,"72.0""",Southpaw,18
Dani,Barbir,,--,185 lbs.,--,,7
Dione,Barbosa,The Witch,"5' 6""",125 lbs.,"66.0""",Orthodox,8
Marcio,Barbosa,Ticoto,--,145 lbs.,--,,16
Edson,Barboza,Junior,"5' 11""",155 lbs.,"75.0""",Orthodox,24
Raoni,Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,20
Daniel,Barez,,"5' 6""",125 lbs.,"66.0""",Orthodox,17
Danny,Barlow,LeftHand2God,"6' 2""",170 lbs.,"79.0""",Southpaw,9
Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13
James,Barnes,Mooka,"5' 8""",135 lbs.,"71.0""",Orthodox,14
Nick,Barnes,,"5' 11""",170 lbs.,--,,11
Shonte,Barnes,Shyne,"5' 11""",185 lbs.,"76.0""",Southpaw,6
Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35
Chris,Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,23
Chris,Barnhizer,,--,--,--,,2
David,Baron,,"5' 6""",155 lbs.,--,Switch,17
Phil,Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15
Dan,Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3
Carlos,Barreto,,"6' 4""",230 lbs.,--,Orthodox,14
Jose,Barreto,,--,185 lbs.,--,Southpaw,0
Peter,Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11
Marc-Andre,Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,17
David,Barrios,,"5' 6""",145 lbs.,--,,4
Alexandre,Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22
Ricardo,Barros,,"6' 1""",205 lbs.,--,,2
Francimar,Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19
Pat,Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8
Dean,Barry,The Sniper,"5' 10""",170 lbs.,"72.0""",Orthodox,4
Enrique,Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17
Javid,Basharat,The Snow Leopard,"5' 9""",135 lbs.,"69.0""",Orthodox,14
Farid,Basharat,Ferocious,"5' 8""",135 lbs.,"71.0""",Orthodox,13
Austin,Bashi,,"5' 6""",145 lbs.,"70.0""",Orthodox,14
Stephen,Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11
Sean,Bassett,,--,155 lbs.,--,,0
Ryan,Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6
Shayna,Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15
Namsrai,Batbayar,Steppe Warrior,"5' 4""",125 lbs.,"68.0""",Orthodox,8
Michel,Batista,,"6' 3""",260 lbs.,--,Orthodox,4
Bryan,Battle,The Butcher,"6' 1""",185 lbs.,"77.0""",Orthodox,13
Alan,Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8
Mario,Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,16
Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10
Donovan,Beard,The Highlight Reel,"6' 2""",185 lbs.,"78.0""",Orthodox,7
Rudy,Bears,,"5' 11""",170 lbs.,--,Southpaw,16
Salvador,Becerra,,"5' 9""",155 lbs.,--,,5
Ariel,Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4
Jack,Becker,,"5' 8""",155 lbs.,"71.0""",Orthodox,13
Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13
Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6
Johnny,Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21
Rolando,Bedoya,The Machine,"5' 11""",155 lbs.,"74.0""",Orthodox,14
Chase,Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24
Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24
Allan,Begosso,Mini,"5' 5""",135 lbs.,"66.0""",Orthodox,7
Azamat,Bekoev,Iron,"6' 0""",185 lbs.,"72.0""",Orthodox,20
Mirsad,Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13
Diana,Belbita,The Warrior Princess,"5' 7""",125 lbs.,"68.0""",Orthodox,15
Alan,Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18
Vitor,Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26
Yousri,Belgaroui,,"6' 5""",185 lbs.,"79.0""",Orthodox,8
Rodolfo,Bellato,Trator,"6' 3""",205 lbs.,"75.0""",Orthodox,12
Danilo,Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12
Joey,Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17
Marco,Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8
Joseph,Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28
Mike,Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1
Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6
Karla,Benitez,,"5' 3""",113 lbs.,--,,14
Gabriel,Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,23
Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30
Josh,Bennett,,"6' 4""",259 lbs.,--,Orthodox,11
DeAnna,Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8
Benjamin,Bennett,Mr. Alaska,"6' 0""",170 lbs.,"73.0""",Switch,7
Lance,Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7
Joe,Benoit,,"5' 9""",170 lbs.,--,Orthodox,11
Ryan,Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10
Pat,Benson,,"5' 9""",155 lbs.,--,,3
Len,Bentley,,"5' 9""",155 lbs.,--,,10
Steve,Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21
Kenneth,Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8
Bret,Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6
Keith,Berish,Sha Bang Bang,"6' 0""",205 lbs.,--,Orthodox,5
Dennis,Bermudez,The Menace,"5' 6""",155 lbs.,"66.0""",Orthodox,17
Manny,Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71.0""",Orthodox,14
Talita,Bernardo,,"5' 4""",135 lbs.,"68.0""",Orthodox,6
Dave,Berry,,--,--,--,,0
Keith,Berry,,"6' 1""",185 lbs.,--,,15
Dieusel,Berto,,"5' 9""",200 lbs.,--,,0
Edson,Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17
Allen,Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4
Anton,Berzin,The Body Snatcher,"6' 2""",205 lbs.,--,Orthodox,5
Scott,Bessac,,"6' 4""",245 lbs.,--,,4
Matt,Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22
Khadzhi,Bestaev,Best,"6' 6""",185 lbs.,"76.0""",,10
Fernando,Bettega,,--,170 lbs.,--,,7
Arjan,Bhullar,,"6' 1""",245 lbs.,"75.0""",Orthodox,9
KB,Bhullar,The Bengal,"6' 4""",185 lbs.,"78.0""",Switch,8
Bibulatov,Magomed,Chaborz,"5' 5""",125 lbs.,"65.0""",Orthodox,14
David,Bielkheden,,"5' 10""",155 lbs.,"71.0""",Orthodox,24
Blake,Bilder,El Animal,"5' 8""",145 lbs.,"68.0""",Switch,8
Jonas,Bilharinho,,"5' 11""",145 lbs.,"75.0""",Switch,9
Jeremiah,Billington,,"5' 9""",205 lbs.,--,Orthodox,11
